Season,Date,Home,Away,URL
2023/2024,28-12-2023,Brighton,Tottenham,https://www.xscores.com/soccer/match/brighton-vs-tottenham/28-12-2023/2139617
2023/2024,28-12-2023,Arsenal,WestHam,https://www.xscores.com/soccer/match/arsenal-vs-west-ham/28-12-2023/2139606
2023/2024,30-12-2023,Luton,Chelsea,https://www.xscores.com/soccer/match/luton-vs-chelsea/30-12-2023/2139610
2023/2024,30-12-2023,Aston Villa,Burnley,https://www.xscores.com/soccer/match/aston-villa-vs-burnley/30-12-2023/2139614
2023/2024,30-12-2023,Crystal Palace,Brentford,https://www.xscores.com/soccer/match/crystal-palace-vs-brentford/30-12-2023/2139613
2023/2024,30-12-2023,Manchester City,Sheffield United,https://www.xscores.com/soccer/match/manchester-city-vs-sheffield-united/30-12-2023/2139609
2023/2024,30-12-2023,Wolverhampton,Everton,https://www.xscores.com/soccer/match/wolverhampton-vs-everton/30-12-2023/2139621
2023/2024,30-12-2023,Nottingham Forest,Manchester United,https://www.xscores.com/soccer/match/nottingham-forest-vs-manchester-united/30-12-2023/2139618
2023/2024,31-12-2023,Fulham,Arsenal,https://www.xscores.com/soccer/match/fulham-vs-arsenal/31-12-2023/2139612
2023/2024,31-12-2023,Tottenham,Bournemouth,https://www.xscores.com/soccer/match/tottenham-vs-bournemouth/31-12-2023/2139619
2023/2024,01-01-2024,Liverpool,Newcastle,https://www.xscores.com/soccer/match/liverpool-vs-newcastle/01-01-2024/2139611
2023/2024,02-01-2024,WestHam,Brighton,https://www.xscores.com/soccer/match/west-ham-vs-brighton/02-01-2024/2139620
2023/2024,12-01-2024,Burnley,Luton,https://www.xscores.com/soccer/match/burnley-vs-luton/12-01-2024/2139629
2023/2024,13-01-2024,Chelsea,Fulham,https://www.xscores.com/soccer/match/chelsea-vs-fulham/13-01-2024/2139628
2023/2024,13-01-2024,Newcastle,Manchester City,https://www.xscores.com/soccer/match/newcastle-vs-manchester-city/13-01-2024/2139639
2023/2024,14-01-2024,Everton,Aston Villa,https://www.xscores.com/soccer/match/everton-vs-aston-villa/14-01-2024/2139625
2023/2024,14-01-2024,Manchester United,Tottenham,https://www.xscores.com/soccer/match/manchester-united-vs-tottenham/14-01-2024/2139627
2023/2024,20-01-2024,Arsenal,Crystal Palace,https://www.xscores.com/soccer/match/arsenal-vs-crystal-palace/20-01-2024/2139623
2023/2024,20-01-2024,Brentford,Nottingham Forest,https://www.xscores.com/soccer/match/brentford-vs-nottingham-forest/20-01-2024/2139624
2023/2024,21-01-2024,Sheffield United,WestHam,https://www.xscores.com/soccer/match/sheffield-united-vs-west-ham/21-01-2024/2139626
