URL,Home Team,Away Team,date,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/aston-villa-vs-everton/18-09-2021/319156,Aston Villa,Everton,2021-09-18T17:30:00,Regular goal,1-0,Matty Cash,66,0
https://www.xscores.com/soccer/match/aston-villa-vs-everton/18-09-2021/319156,Aston Villa,Everton,2021-09-18T17:30:00,Own goal,2-0,Lucas Digne,69,0
https://www.xscores.com/soccer/match/aston-villa-vs-everton/18-09-2021/319156,Aston Villa,Everton,2021-09-18T17:30:00,Regular goal,3-0,Leon Bailey,75,0
https://www.xscores.com/soccer/match/brighton-vs-leicester/19-09-2021/319157,Brighton,Leicester,2021-09-19T14:00:00,Penalty,1-0,Neal Maupay,35,0
https://www.xscores.com/soccer/match/brighton-vs-leicester/19-09-2021/319157,Brighton,Leicester,2021-09-19T14:00:00,Regular goal,2-0,Danny Welbeck,50,0
https://www.xscores.com/soccer/match/brighton-vs-leicester/19-09-2021/319157,Brighton,Leicester,2021-09-19T14:00:00,Regular goal,2-1,Jamie Vardy,61,0
https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/19-09-2021/319164,West Ham,Manchester United,2021-09-19T14:00:00,Regular goal,1-0,Said Benrahma,30,0
https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/19-09-2021/319164,West Ham,Manchester United,2021-09-19T14:00:00,Regular goal,1-1,Cristiano Ronaldo,35,0
https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/19-09-2021/319164,West Ham,Manchester United,2021-09-19T14:00:00,Regular goal,1-2,Jesse Lingard,89,0
https://www.xscores.com/soccer/match/tottenham-vs-chelsea/19-09-2021/319163,Tottenham,Chelsea,2021-09-19T16:30:00,Regular goal,0-1,Thiago Silva,49,0
https://www.xscores.com/soccer/match/tottenham-vs-chelsea/19-09-2021/319163,Tottenham,Chelsea,2021-09-19T16:30:00,Regular goal,0-2,N'Golo Kante,57,0
https://www.xscores.com/soccer/match/tottenham-vs-chelsea/19-09-2021/319163,Tottenham,Chelsea,2021-09-19T16:30:00,Regular goal,0-3,Antonio Ruediger,90,2
https://www.xscores.com/soccer/match/chelsea-vs-manchester-city/25-09-2021/319168,Chelsea,Manchester City,2021-09-25T12:30:00,Regular goal,0-1,Gabriel Jesus,53,0
https://www.xscores.com/soccer/match/manchester-united-vs-aston-villa/25-09-2021/319173,Manchester United,Aston Villa,2021-09-25T12:30:00,Regular goal,0-1,Kortney Hause,88,0
https://www.xscores.com/soccer/match/everton-vs-norwich/25-09-2021/319170,Everton,Norwich,2021-09-25T15:00:00,Penalty,1-0,Andros Townsend,29,0
https://www.xscores.com/soccer/match/everton-vs-norwich/25-09-2021/319170,Everton,Norwich,2021-09-25T15:00:00,Regular goal,2-0,Abdoulaye Doucoure,77,0
