season,date,home_team,away_team,url
1996/1997,1996-10-19T01:00:00,Aston Villa,Leeds,https://www.xscores.com/soccer/match/aston-villa-vs-leeds/19-10-1996/1596834
1996/1997,1996-10-19T01:00:00,Chelsea,AFC Wimbledon,https://www.xscores.com/soccer/match/chelsea-vs-afc-wimbledon/19-10-1996/1596835
1996/1997,1996-10-19T01:00:00,Middlesbrough,Tottenham,https://www.xscores.com/soccer/match/middlesbrough-vs-tottenham/19-10-1996/1596836
1996/1997,1996-10-19T01:00:00,Nottingham Forest,Derby,https://www.xscores.com/soccer/match/nottingham-forest-vs-derby/19-10-1996/1596837
1996/1997,1996-10-19T01:00:00,Sheffield Wednesday,Blackburn,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-blackburn/19-10-1996/1596838
1996/1997,1996-10-19T01:00:00,Southampton,Sunderland,https://www.xscores.com/soccer/match/southampton-vs-sunderland/19-10-1996/1596839
1996/1997,1996-10-19T01:00:00,West Ham,Leicester,https://www.xscores.com/soccer/match/west-ham-vs-leicester/19-10-1996/1596840
1996/1997,1996-10-20T01:00:00,Newcastle,Manchester United,https://www.xscores.com/soccer/match/newcastle-vs-manchester-united/20-10-1996/1596841
1996/1997,1996-10-26T01:00:00,Arsenal,Leeds,https://www.xscores.com/soccer/match/arsenal-vs-leeds/26-10-1996/1596842
1996/1997,1996-10-26T01:00:00,Chelsea,Tottenham,https://www.xscores.com/soccer/match/chelsea-vs-tottenham/26-10-1996/1596843
1996/1997,1996-10-26T01:00:00,Coventry,Sheffield Wednesday,https://www.xscores.com/soccer/match/coventry-vs-sheffield-wednesday/26-10-1996/1596844
1996/1997,1996-10-26T01:00:00,Leicester,Newcastle,https://www.xscores.com/soccer/match/leicester-vs-newcastle/26-10-1996/1596845
1996/1997,1996-10-26T01:00:00,Middlesbrough,AFC Wimbledon,https://www.xscores.com/soccer/match/middlesbrough-vs-afc-wimbledon/26-10-1996/1596846
1996/1997,1996-10-26T01:00:00,Southampton,Manchester United,https://www.xscores.com/soccer/match/southampton-vs-manchester-united/26-10-1996/1596847
1996/1997,1996-10-26T01:00:00,Sunderland,Aston Villa,https://www.xscores.com/soccer/match/sunderland-vs-aston-villa/26-10-1996/1596848
1996/1997,1996-10-26T01:00:00,West Ham,Blackburn,https://www.xscores.com/soccer/match/west-ham-vs-blackburn/26-10-1996/1596849
1996/1997,1996-10-27T01:00:00,Liverpool,Derby,https://www.xscores.com/soccer/match/liverpool-vs-derby/27-10-1996/1596850
1996/1997,1996-10-28T00:00:00,Nottingham Forest,Everton,https://www.xscores.com/soccer/match/nottingham-forest-vs-everton/28-10-1996/1596851
1996/1997,1996-11-02T00:00:00,Aston Villa,Nottingham Forest,https://www.xscores.com/soccer/match/aston-villa-vs-nottingham-forest/02-11-1996/1596852
