URL,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Regular goal,0-1,Dominic Solanke,25,0
https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Own goal,1-1,Milos Kerkez,45,2
https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Regular goal,2-1,Kaoru Mitoma,46,0
https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Regular goal,3-1,Kaoru Mitoma,77,0
https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/24-09-2023/2139476,Regular goal,0-1,Ollie Watkins,73,0
https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Penalty,1-0,Mohamed Salah,16,0
https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Regular goal,1-1,Jarrod Bowen,42,0
https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Regular goal,2-1,Darwin Nunez,60,0
https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Regular goal,3-1,Diogo Jota,85,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-1,Sean Longstaff,21,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-2,Daniel Burn,31,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-3,Sven Botman,35,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-4,Callum Wilson,56,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-5,Anthony Gordon,61,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-6,Miguel Almiron,68,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-7,Bruno Guimaraes,73,0
https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-8,Alexander Isak,87,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Regular goal,1-0,Ollie Watkins,14,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Regular goal,2-0,Ollie Watkins,21,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Own goal,3-0,Pervis Estupinan,26,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Regular goal,3-1,Ansu Fati,50,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Regular goal,4-1,Ollie Watkins,65,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Regular goal,5-1,Jacob Ramsey,85,0
https://www.xscores.com/soccer/match/aston-villa-vs-brighton/30-09-2023/2139479,Regular goal,6-1,Douglas Luiz,90,7
https://www.xscores.com/soccer/match/bournemouth-vs-arsenal/30-09-2023/2139480,Regular goal,0-1,Bukayo Saka,17,0
